"7d. U.S. Regional Electricity Generation, Electric Power Sector"
"https://www.eia.gov/outlooks/steo/data/browser/#/?v=22&f=Q&s=00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000&id=&maptype=0&ctype=linechart"
"Tue Apr 04 2023 16:27:02 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"remove","","map","linechart","units","source key","Q1 2018","Q2 2018","Q3 2018","Q4 2018","Q1 2019","Q2 2019","Q3 2019","Q4 2019","Q1 2020","Q2 2020","Q3 2020","Q4 2020","Q1 2021","Q2 2021","Q3 2021","Q4 2021","Q1 2022","Q2 2022","Q3 2022","Q4 2022","Q1 2023","Q2 2023","Q3 2023","Q4 2023","Q1 2024","Q2 2024","Q3 2024","Q4 2024"
"Nuclear","Electric power sector generation by nuclear: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","NUEPGEN_PJ",71.71,69.16,73.15,71.35,69.56,68.55,71.70,68.11,68.90,67.06,70.85,68.93,68.26,64.65,70.52,68.27,69.01,65.06,69.69,66.82,67.20,67.21,71.94,68.56,68.98,64.75,71.90,68.51
"Conventional hydropower","Electric power sector generation by conventional hydropower: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","HVEPGEN_PJ",2.60,2.94,2.84,3.49,3.18,2.95,1.96,2.14,3.03,2.75,1.80,1.80,2.67,2.40,2.36,2.35,2.74,2.38,1.41,2.04,2.73,2.61,1.67,2.10,2.66,2.60,1.67,2.11
"Nonhydro renewables ","Electric power sector generation by non-hydropower renewables",1,1,"billion kilowatthours","RNEPGEN_PJ",9.61,7.65,6.05,8.52,9.56,9.15,6.62,9.34,10.33,9.83,6.69,10.92,11.33,10.84,8.95,11.84,13.25,12.97,9.75,12.48,14.37,13.66,11.22,13.74,16.08,16.31,13.97,15.75
"Other energy sources ","Electric power sector generation by other energy sources: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","XXEPGEN_PJ",2.01,0.73,0.41,0.85,0.69,0.65,0.53,0.42,0.69,0.61,0.43,0.70,0.78,0.70,0.47,0.76,0.66,0.38,0.25,1.31,0.68,0.37,0.33,0.89,0.65,0.43,0.35,0.97
"Total generation","Total electric power sector net generation: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","TOEPGEN_PJ",203.62,188.74,223.45,196.08,206.60,186.10,223.11,189.63,197.30,180.53,222.51,190.16,205.16,189.79,227.58,191.87,211.06,190.34,227.07,193.30,200.82,192.31,229.58,191.74,207.46,193.19,233.46,195.56
"Net energy for load ","Net energy for load: Mid-Atlantic (PJM)",1,1,"billion kilowatthours","ELLOAD_PJ",198.19,181.30,213.67,187.42,196.82,173.45,210.07,181.13,183.65,164.34,206.92,177.77,193.63,178.19,214.97,181.80,200.93,180.29,213.22,186.23,191.84,184.24,210.71,184.57,204.36,183.68,210.96,185.12
"Southeast (SERC)","Southeast (SERC)",0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Natural gas","Electric power sector generation by natural gas: Southeast (SERC)",1,1,"billion kilowatthours","NGEPGEN_SE",56.77,57.78,73.99,56.07,57.53,59.09,75.90,59.84,63.13,59.28,73.27,58.77,57.02,56.97,72.44,64.11,62.98,66.88,86.22,64.52,60.54,64.06,89.61,71.82,72.80,61.78,87.06,72.97
"Coal","Electric power sector generation by coal: Southeast (SERC)",1,1,"billion kilowatthours","CLEPGEN_SE",44.25,45.01,53.91,42.33,35.07,38.02,53.28,33.46,23.76,22.15,44.39,27.98,36.29,33.73,44.31,23.33,32.25,32.75,32.04,28.10,22.02,25.16,30.12,21.50,26.96,25.33,31.15,20.22
"Nuclear","Electric power sector generation by nuclear: Southeast (SERC)",1,1,"billion kilowatthours","NUEPGEN_SE",52.03,50.73,53.53,48.50,52.33,52.80,53.71,52.15,52.97,50.53,54.12,52.52,53.84,52.22,54.11,52.05,51.44,51.10,55.43,51.07,52.19,52.24,57.35,56.63,57.60,57.65,60.16,55.15
